NBI Call:  
Start Date and time: 2020-01-03 14:06:11

Mehtod name : Alarm Method,Total Time Taken:272ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:273ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:271ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:261ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:270ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:302ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:280ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:316ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:256ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:279ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:264ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:266ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:276ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:288ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:272ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:272ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:286ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:287ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:270ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:275ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:277ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:274ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:262ms,End Time: 2020-01-03 14:30
Mehtod name : Alarm Method,Total Time Taken:354ms,End Time: 2020-01-03 14:30
