Node offline Start Time:  
Start Date and time: 2020-01-20 12:26:28
Start Date and time: 2020-02-11 18:16:39
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 18:16:39
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 18:16:39
Node offline Start Time:  
Start Date and time: 2020-02-11 18:41:46
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 18:41:46
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
DateAndTime,TotalNodes,CommLossNodes,OnlineNodes
2020-02-10 19:11:00,71337,11448,59889
2020-02-10 19:10:00,71337,11448,59889
Node offline End Time:  
End time: 2020-02-11 18:41:46
